sample_id	raw_file_name	plate	well	replicate_letter	ip_name	bait_name	replicate_group	keep
j14910	j14910.raw	81130	G06	B	j14910	DLG3	DLG3	Y
j14911	j14911.raw	81130	G05	B	j14911	PCDHA11	PCDHA11	Y
j14912	j14912.raw	81130	G03	B	j14912	ANKRD56	ANKRD56	Y
j14913	j14913.raw	81130	G01	B	j14913	SYNPO2L	SYNPO2L	Y
j14914	j14914.raw	81130	H01	A	j14914	SEMA3E	SEMA3E	Y
j14915	j14915.raw	81130	H05	A	j14915	PLG	PLG	Y
j14916	j14916.raw	81130	H07	A	j14916	TXNDC16	TXNDC16	Y
j14917	j14917.raw	81130	H11	A	j14917	SLC9A5	SLC9A5	Y
j15092	j15092.raw	81130	H10	B	j15092	EIF2C1	EIF2C1	Y
j15093	j15093.raw	81130	H09	B	j15093	RBM25	RBM25	Y
j15094	j15094.raw	81130	H08	B	j15094	ACAP3	ACAP3	Y
j15095	j15095.raw	81130	H06	B	j15095	PCDHGA7	PCDHGA7	Y
j15096	j15096.raw	81130	H04	B	j15096	DPP6	DPP6	Y
j15097	j15097.raw	81130	H03	B	j15097	BRD4	BRD4	Y
j15098	j15098.raw	81130	H02	B	j15098	TBC1D2B	TBC1D2B	Y
j15100	j15100.raw	81130	G07	B	j15100	NPAS2	NPAS2	Y
j15101	j15101.raw	81130	G04	B	j15101	TFR2	TFR2	Y
j15102	j15102.raw	81130	G02	B	j15102	TLR1	TLR1	Y
j15105	j15105.raw	81130	F12	B	j15105	ANKLE2	ANKLE2	Y
j15106	j15106.raw	81130	F10	B	j15106	BICD2	BICD2	Y
j15107	j15107.raw	81130	F08	B	j15107	DISC1	DISC1	Y
j15109	j15109.raw	81130	F03	B	j15109	GPAT2	GPAT2	Y
j15111	j15111.raw	81130	E12	B	j15111	MATN2	MATN2	Y
j15115	j15115.raw	81130	E05	B	j15115	SPON1	SPON1	Y
j15116	j15116.raw	81130	A11	B	j15116	PIPSL	PIPSL	Y
j15120	j15120.raw	81130	H03	C	j15120	BRD4	BRD4	Y
j15121	j15121.raw	81130	H06	C	j15121	PCDHGA7	PCDHGA7	Y
j15122	j15122.raw	81130	H08	C	j15122	ACAP3	ACAP3	Y
j15150	j15150.raw	81130	F11	C	j15150	PHF14	PHF14	Y
